               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11368,            0.031577,                   0,           0.0017127,             0.47368,            0.002334,          0.00047915,             0.13115,            0.021509,                   0,              0.0964,              0.0004,              0.0004
                   1,             0.11713,            0.029795,                   0,           0.0022807,             0.68421,            0.004846,           0.0012474,             0.12379,            0.019225,                   0,            0.091891,          0.00089109,          0.00089109
                   2,             0.10833,            0.029808,                   0,           0.0046308,             0.84211,           0.0086595,           0.0018619,             0.10601,            0.017067,                   0,            0.087372,           0.0013723,           0.0013723
                   3,            0.093054,            0.027753,                   0,           0.0081771,             0.86842,            0.020747,           0.0055294,             0.06433,            0.015505,                   0,            0.082844,           0.0018436,           0.0018436
                   4,            0.086542,            0.026856,                   0,            0.063281,             0.57895,            0.083046,            0.025205,             0.05987,            0.014137,                   0,            0.078305,            0.002305,            0.002305
                   5,             0.07604,            0.024061,                   0,             0.20589,             0.34211,             0.17736,            0.054437,            0.052998,            0.013243,                   0,            0.073756,           0.0027564,           0.0027564
                   6,            0.072026,            0.025304,                   0,             0.41016,             0.47368,              0.3406,             0.12236,            0.044656,            0.012736,                   0,            0.069198,            0.003198,            0.003198
                   7,            0.065987,            0.024436,                   0,             0.38008,             0.39474,             0.33832,             0.12949,             0.04247,            0.012395,                   0,             0.06463,           0.0036297,           0.0036297
                   8,            0.065654,            0.022835,                   0,             0.27835,             0.52632,             0.29515,            0.086469,            0.044558,            0.014053,                   0,            0.060052,           0.0040515,           0.0040515
                   9,            0.064312,            0.021921,                   0,             0.34379,             0.42105,             0.33923,              0.1543,            0.044641,            0.012293,                   0,            0.055463,           0.0044634,           0.0044634
                  10,            0.064666,            0.021159,                   0,             0.36044,             0.44737,             0.34776,             0.11778,            0.051244,             0.01014,                   0,            0.050865,           0.0048654,           0.0048654
                  11,              0.0662,            0.019011,                   0,             0.52686,             0.31579,              0.3624,             0.19753,            0.044506,           0.0089343,                   0,            0.046257,           0.0052575,           0.0052575
                  12,            0.055197,            0.019821,                   0,             0.47513,             0.44737,             0.45995,             0.25193,            0.049827,           0.0083811,                   0,             0.04164,           0.0056397,           0.0056397
                  13,            0.061602,             0.02088,                   0,             0.62859,             0.49013,             0.55771,             0.30086,            0.043922,           0.0079086,                   0,            0.037012,            0.006012,            0.006012
                  14,            0.058118,            0.020703,                   0,             0.84737,              0.4386,             0.57363,             0.27622,            0.046077,           0.0077167,                   0,            0.032374,           0.0063744,           0.0063744
                  15,            0.057693,            0.018981,                   0,             0.69066,             0.58774,             0.64303,             0.26518,            0.041479,           0.0067575,                   0,            0.027727,           0.0067268,           0.0067268
                  16,            0.053243,            0.018789,                   0,             0.76388,             0.47368,             0.63396,             0.26427,             0.03532,           0.0069263,                   0,            0.023069,           0.0070694,           0.0070694
                  17,            0.049981,            0.019008,                   0,             0.40375,             0.46346,              0.4285,             0.19016,            0.043716,           0.0068486,                   0,            0.018402,           0.0074021,           0.0074021
                  18,            0.055126,            0.019524,                   0,             0.61696,             0.28947,             0.40755,             0.18358,            0.042267,           0.0070312,                   0,            0.013725,           0.0077249,           0.0077249
                  19,            0.050969,            0.018616,                   0,             0.71081,             0.52632,             0.60671,             0.22866,            0.038922,           0.0067828,                   0,           0.0090378,           0.0080378,           0.0080378
                  20,            0.052323,            0.019067,                   0,             0.64817,             0.34211,              0.4694,              0.2132,              0.0407,           0.0069067,                   0,             0.00802,             0.00802,             0.00802
                  21,             0.05069,            0.017303,                   0,             0.31032,             0.36842,             0.30928,             0.12854,            0.037543,           0.0079639,                   0,             0.00802,             0.00802,             0.00802
                  22,             0.05102,            0.018734,                   0,             0.29852,             0.42105,              0.3307,             0.15303,            0.039598,           0.0075474,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.047814,            0.016955,                   0,             0.35912,             0.42105,             0.31106,             0.14049,            0.042525,           0.0076919,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.051205,            0.017786,                   0,             0.55253,             0.39474,             0.37272,             0.16912,            0.042012,           0.0088623,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.041707,            0.017763,                   0,             0.60337,             0.52057,             0.50932,             0.20027,            0.040018,           0.0083601,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.049381,            0.018795,                   0,             0.46423,             0.45619,             0.46554,             0.18382,            0.044301,           0.0074737,                   0,            0.007525,            0.007525,            0.007525
